position_x,position_y,velocity_x,velocity_y,acceleration_x,acceleration_y,heading,timestamp
12.5,25.0,0.4,0.0,0,0.004934802200544679,0.0,0.0
12.9,25.002467198171342,0.4,0.004933990498176337,0,0.004932367173551656,0.012334350706928385,0.1
13.3,25.00986635785864,0.4,0.009863111743418867,0,0.004925064495650241,0.024652783820864062,0.2
13.7,25.0221901769846,0.4,0.014782499288158552,0,0.004912901373701863,0.03693943748600281,0.30000000000000004
14.1,25.039426493427612,0.4,0.019687298290813598,0,0.004895889811239412,0.049178560713004284,0.4
14.5,25.061558297024312,0.4,0.02457266830693193,0,0.004874046596621208,0.0613545673045363,0.5
14.9,25.088563746356556,0.4,0.02943378806612552,0,0.004847393286462916,0.07345208800507858,0.6000000000000001
15.3,25.120416190306262,0.4,0.03426586023008215,0,0.004815956184363769,0.08545602033774956,0.7000000000000001
15.7,25.157084194356845,0.4,0.03906411612695912,0,0.004779766314948091,0.09735157563558136,0.8
16.1,25.198531571615284,0.4,0.04382382045748669,0,0.004738859393247739,0.10912432282785725,0.9
16.5,25.244717418524232,0.4,0.048540275968136655,0,0.00469327578945568,0.12076022860226122,1.0
16.9,25.29559615522887,0.4,0.05320882808674463,0,0.004643060489085481,0.13224569362893843,1.1
17.3,25.351117570558742,0.4,0.057824869516010645,0,0.004588263048576042,0.14356758460130636,1.2000000000000002
17.7,25.411226871580094,0.4,0.06238384478034547,0,0.004528937546385369,0.1547132619187711,1.3
18.1,25.4758647376699,0.4,0.06688125472157495,0,0.004465142529621669,0.16567060290661198,1.4000000000000001
18.5,25.54496737905816,0.4,0.07131266093906595,0,0.004396940956264424,0.17642802053655995,1.5
18.9,25.61846659978068,0.4,0.07567369016989202,0,0.00432440013303246,0.1869744776765236,1.6
19.3,25.696289864980283,0.4,0.0799600386047157,0,0.004247591648960349,0.19729949695823937,1.7000000000000002
19.7,25.778360372489924,0.4,0.084167476135129,0,0.004166591304748668,0.20739316640631256,1.8
20.1,25.864597128627192,0.4,0.08829185052825947,0,0.004081479037957865,0.21724614102037154,1.9000000000000001
20.5,25.954915028125264,0.4,0.09232909152452283,0,0.003992338844119533,0.22684964054337164,2.0
20.9,26.049224938121547,0.4,0.09627521485447779,0,0.0038992586938429654,0.23619544368315165,2.1
21.3,26.147433786121052,0.4,0.10012632617081894,0,0.0038023304459987813,0.2452758790811249,2.2
21.700000000000003,26.249444651847703,0.4,0.10387862489162736,0,0.003701649757065315,0.25408381334162283,2.3000000000000003
22.1,26.355156862892944,0.4,0.1075284079510861,0,0.003597315986727216,0.26261263644822913,2.4000000000000004
22.5,26.464466094067262,0.4,0.11107207345395914,0,0.0034894320998194403,0.27085624489991916,2.5
22.9,26.577264470356557,0.4,0.11450612423022707,0,0.0033781045647133853,0.27880902290053317,2.6
23.3,26.69344067338174,0.4,0.11782717128637168,0,0.0032634432482454637,0.28646582193072284,2.7
23.700000000000003,26.812880051256553,0.4,0.12103193714990342,0,0.0031455613072918025,0.29382193902272735,2.8000000000000003
24.1,26.935464731735117,0.4,0.12411725910383103,0,0.0030245750770960646,0.3008730940458783,2.9000000000000004
24.5,27.061073738537633,0.4,0.12708009230788148,0,0.0029006039564606068,0.30761540629533063,3.0
24.9,27.18958311073935,0.4,0.12991751280338953,0,0.00277377028991428,0.3140453706588526,3.1
25.3,27.320866025105015,0.4,0.13262672039889203,0,0.0026441992469731558,0.3201598336172472,3.2
25.700000000000003,27.454792921248142,0.4,0.13520504143357884,0,0.0025120186986133113,0.3259559693137007,3.3000000000000003
26.1,27.591231629491425,0.4,0.13764993141587317,0,0.0023773590910776284,0.33143125590660927,3.4000000000000004
26.5,27.730047501302266,0.4,0.13995897753453762,0,0.0022403533171410943,0.33658345239968285,3.5
26.9,27.871103542174637,0.4,0.14212990103982767,0,0.002101136584961675,0.34141057612275544,3.6
27.3,28.014260546826097,0.4,0.14416055949234227,0,0.001959846284646193,0.3459108810170815,3.7
27.7,28.15937723657661,0.4,0.1460489488773532,0,0.001816621852662875,0.3500828368602192,3.8000000000000003
28.1,28.306310398773544,0.4,0.1477932055825255,0,0.0016716046342343926,0.3539251095480883,3.9000000000000004
28.5,28.454915028125264,0.4,0.14939160823707778,0,0.0015249377438471936,0.35743654253558976,4.0
28.9,28.605044469803854,0.4,0.15084257941056753,0,0.0013767659240147834,0.3606161395223623,4.1000000000000005
29.3,28.756550564175726,0.4,0.15214468716962432,0,0.0012272354024343343,0.36346304845686855,4.2
29.7,28.909283793017288,0.4,0.1532966464910954,0,0.001076493747677608,0.3659765469200574,4.3
30.1,29.063093427071376,0.4,0.15429732053020817,0,0.000924689723558589,0.36815602893928767,4.4
30.5,29.217827674798844,0.4,0.1551457217424989,0,0.0007719731423215613,0.3700009932739745,4.5
30.900000000000002,29.373333832178478,0.4,0.15584101285839977,0,0.0006184947167945089,0.3715110332064259,4.6000000000000005
31.299999999999997,29.529458433407427,0.4,0.1563825077095229,0,0.00046440591165375356,0.37268582786448323,4.7
31.7,29.68604740235343,0.4,0.1567696719058257,0,0.00030985879394659997,0.3735251350967192,4.800000000000001
32.1,29.84294620460936,0.4,0.15700212336298927,0,0.00015500588301952677,0.37402878591596694,4.9
32.5,30.0,0.4,0.0,0,0.0,0.0,5.0
32.9,30.0,0.4,0.0,0,0.0,0.0,5.1000000000000005
33.3,30.0,0.4,0.0,0,0.0,0.0,5.2
33.7,30.0,0.4,0.0,0,0.0,0.0,5.300000000000001
34.1,30.0,0.4,0.0,0,0.0,0.0,5.4
34.5,30.0,0.4,0.0,0,0.0,0.0,5.5
34.900000000000006,30.0,0.4,0.0,0,0.0,0.0,5.6000000000000005
35.3,30.0,0.4,0.0,0,0.0,0.0,5.7
35.7,30.0,0.4,0.0,0,0.0,0.0,5.800000000000001
36.099999999999994,30.0,0.4,0.0,0,0.0,0.0,5.9
36.5,30.0,0.4,0.0,0,0.0,0.0,6.0
36.9,30.0,0.4,0.0,0,0.0,0.0,6.1000000000000005
37.3,30.0,0.4,0.0,0,0.0,0.0,6.2
37.7,30.0,0.4,0.0,0,0.0,0.0,6.300000000000001
38.1,30.0,0.4,0.0,0,0.0,0.0,6.4
38.5,30.0,0.4,0.0,0,0.0,0.0,6.5
38.900000000000006,30.0,0.4,0.0,0,0.0,0.0,6.6000000000000005
39.3,30.0,0.4,0.0,0,0.0,0.0,6.7
39.7,30.0,0.4,0.0,0,0.0,0.0,6.800000000000001
40.099999999999994,30.0,0.4,0.0,0,0.0,0.0,6.9
40.5,30.0,0.4,0.0,0,0.0,0.0,7.0
40.9,30.0,0.4,0.0,0,0.0,0.0,7.1000000000000005
41.3,30.0,0.4,0.0,0,0.0,0.0,7.2
41.7,30.0,0.4,0.0,0,0.0,0.0,7.300000000000001
42.1,30.0,0.4,0.0,0,0.0,0.0,7.4
42.5,30.0,0.4,0.0,0,0.0,0.0,7.5
42.9,30.0,0.4,0.0,0,0.0,0.0,7.6000000000000005
43.3,30.0,0.4,0.0,0,0.0,0.0,7.7
43.7,30.0,0.4,0.0,0,0.0,0.0,7.800000000000001
44.1,30.0,0.4,0.0,0,0.0,0.0,7.9
44.5,30.0,0.4,0.0,0,0.0,0.0,8.0
44.900000000000006,30.0,0.4,0.0,0,0.0,0.0,8.1
45.3,30.0,0.4,0.0,0,0.0,0.0,8.200000000000001
45.699999999999996,30.0,0.4,0.0,0,0.0,0.0,8.3
46.1,30.0,0.4,0.0,0,0.0,0.0,8.4
46.5,30.0,0.4,0.0,0,0.0,0.0,8.5
46.9,30.0,0.4,0.0,0,0.0,0.0,8.6
47.3,30.0,0.4,0.0,0,0.0,0.0,8.700000000000001
47.7,30.0,0.4,0.0,0,0.0,0.0,8.8
